#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 258000      2.45e-02    2.30e-02      5.79e-04    1.16e-05      1.54e-02    1.47e-02    1.4e-06
 259000      2.23e-02    2.22e-02      1.19e-04    3.80e-04      1.42e-02    1.41e-02    1.4e-06
 260000      2.25e-02    2.49e-02      2.43e-05    4.40e-04      1.50e-02    1.63e-02    1.3e-06
 261000      2.51e-02    2.46e-02      3.51e-05    4.54e-04      1.67e-02    1.61e-02    1.3e-06
 262000      2.33e-02    2.41e-02      1.13e-04    4.23e-04      1.55e-02    1.58e-02    1.3e-06
 263000      2.23e-02    2.31e-02      4.55e-04    2.54e-04      1.46e-02    1.52e-02    1.3e-06
 264000      2.32e-02    2.29e-02      2.33e-05    2.85e-04      1.54e-02    1.51e-02    1.3e-06
 265000      2.26e-02    2.09e-02      7.35e-04    7.45e-05      1.50e-02    1.43e-02    1.1e-06
 266000      2.13e-02    2.19e-02      9.68e-05    1.67e-04      1.46e-02    1.50e-02    1.1e-06
 267000      2.42e-02    2.29e-02      1.08e-04    4.74e-04      1.66e-02    1.55e-02    1.1e-06
 268000      2.33e-02    2.33e-02      2.10e-04    1.80e-04      1.59e-02    1.60e-02    1.1e-06
 269000      2.38e-02    2.29e-02      3.34e-04    5.56e-04      1.63e-02    1.54e-02    1.1e-06
 270000      2.14e-02    2.14e-02      3.12e-04    4.30e-04      1.51e-02    1.50e-02    9.8e-07
 271000      2.29e-02    2.05e-02      2.64e-04    9.75e-05      1.62e-02    1.45e-02    9.8e-07
 272000      2.17e-02    2.14e-02      4.77e-04    5.62e-04      1.52e-02    1.49e-02    9.8e-07
 273000      2.21e-02    2.03e-02      2.22e-04    4.97e-04      1.56e-02    1.42e-02    9.8e-07
 274000      2.25e-02    2.08e-02      3.13e-05    5.53e-04      1.60e-02    1.45e-02    9.8e-07
 275000      2.13e-02    2.21e-02      9.98e-05    3.80e-04      1.56e-02    1.61e-02    8.7e-07
 276000      2.08e-02    2.12e-02      1.21e-04    3.23e-04      1.52e-02    1.54e-02    8.7e-07
 277000      2.19e-02    2.05e-02      3.52e-04    2.60e-05      1.59e-02    1.50e-02    8.7e-07
 278000      2.15e-02    2.09e-02      3.38e-04    6.05e-04      1.57e-02    1.49e-02    8.7e-07
 279000      2.16e-02    1.99e-02      1.13e-04    6.05e-04      1.58e-02    1.42e-02    8.7e-07
 280000      2.16e-02    2.23e-02      5.42e-04    1.11e-03      1.59e-02    1.54e-02    7.6e-07
 281000      2.09e-02    2.09e-02      2.84e-05    2.56e-05      1.58e-02    1.58e-02    7.6e-07
 282000      2.14e-02    2.01e-02      4.08e-04    1.39e-04      1.60e-02    1.51e-02    7.6e-07
 283000      2.02e-02    2.02e-02      1.00e-04    1.03e-04      1.52e-02    1.52e-02    7.6e-07
 284000      1.92e-02    2.04e-02      3.60e-04    5.35e-04      1.43e-02    1.50e-02    7.6e-07
 285000      2.12e-02    1.97e-02      4.37e-04    3.77e-04      1.62e-02    1.51e-02    6.7e-07
 286000      1.96e-02    2.23e-02      4.99e-04    1.43e-04      1.49e-02    1.72e-02    6.7e-07
 287000      2.02e-02    1.76e-02      2.74e-04    1.81e-04      1.55e-02    1.36e-02    6.7e-07
 288000      2.08e-02    2.21e-02      1.12e-04    2.22e-04      1.61e-02    1.70e-02    6.7e-07
 289000      2.28e-02    2.06e-02      4.62e-04    2.55e-05      1.74e-02    1.59e-02    6.7e-07
 290000      1.87e-02    1.90e-02      4.94e-04    4.07e-04      1.45e-02    1.48e-02    5.9e-07
 291000      1.94e-02    1.77e-02      3.10e-04    4.13e-04      1.53e-02    1.38e-02    5.9e-07
 292000      1.93e-02    1.92e-02      5.10e-04    2.89e-04      1.50e-02    1.51e-02    5.9e-07
 293000      1.80e-02    2.10e-02      2.89e-04    2.51e-04      1.42e-02    1.66e-02    5.9e-07
 294000      2.13e-02    1.82e-02      9.24e-05    7.67e-06      1.69e-02    1.44e-02    5.9e-07
 295000      1.67e-02    2.13e-02      2.99e-05    1.48e-05      1.36e-02    1.72e-02    5.2e-07
 296000      1.96e-02    1.82e-02      6.14e-04    2.28e-04      1.54e-02    1.47e-02    5.2e-07
 297000      2.07e-02    1.81e-02      2.33e-04    2.01e-04      1.67e-02    1.46e-02    5.2e-07
 298000      1.85e-02    1.74e-02      7.53e-04    9.28e-05      1.42e-02    1.41e-02    5.2e-07
 299000      1.87e-02    1.86e-02      2.37e-04    2.11e-04      1.51e-02    1.51e-02    5.2e-07
 300000      1.92e-02    1.86e-02      3.75e-04    2.43e-04      1.57e-02    1.53e-02    4.6e-07
 301000      1.80e-02    1.93e-02      3.93e-04    8.48e-05      1.47e-02    1.60e-02    4.6e-07
 302000      1.94e-02    1.82e-02      2.42e-04    5.49e-06      1.60e-02    1.51e-02    4.6e-07
 303000      1.85e-02    1.70e-02      5.23e-04    3.22e-04      1.49e-02    1.40e-02    4.6e-07
 304000      1.93e-02    1.94e-02      3.94e-04    2.70e-04      1.57e-02    1.60e-02    4.6e-07
 305000      1.83e-02    1.73e-02      7.91e-05    3.52e-04      1.55e-02    1.44e-02    4.0e-07
 306000      1.61e-02    1.90e-02      8.13e-05    3.03e-04      1.36e-02    1.59e-02    4.0e-07
 307000      1.76e-02    1.86e-02      1.89e-04    1.68e-04      1.48e-02    1.57e-02    4.0e-07
 308000      1.80e-02    1.88e-02      2.47e-04    2.47e-04      1.51e-02    1.58e-02    4.0e-07
 309000      1.81e-02    1.80e-02      4.30e-04    2.07e-04      1.50e-02    1.52e-02    4.0e-07
 310000      1.74e-02    1.80e-02      7.72e-05    3.08e-04      1.50e-02    1.53e-02    3.5e-07
 311000      1.80e-02    1.87e-02      1.09e-04    6.23e-05      1.55e-02    1.60e-02    3.5e-07
 312000      1.75e-02    1.81e-02      1.22e-04    1.37e-04      1.50e-02    1.55e-02    3.5e-07
 313000      1.78e-02    1.81e-02      1.86e-05    1.25e-04      1.53e-02    1.55e-02    3.5e-07
 314000      1.74e-02    1.81e-02      7.11e-04    1.78e-04      1.42e-02    1.55e-02    3.5e-07
 315000      1.83e-02    1.69e-02      4.32e-04    3.98e-04      1.57e-02    1.45e-02    3.1e-07
 316000      1.72e-02    1.78e-02      4.87e-05    1.50e-04      1.51e-02    1.55e-02    3.1e-07
 317000      1.94e-02    1.79e-02      1.37e-04    5.17e-04      1.69e-02    1.52e-02    3.1e-07
 318000      1.71e-02    1.65e-02      6.69e-04    1.21e-04      1.42e-02    1.44e-02    3.1e-07
 319000      1.72e-02    1.71e-02      2.94e-04    3.21e-04      1.49e-02    1.48e-02    3.1e-07
 320000      1.78e-02    1.59e-02      6.23e-05    1.41e-04      1.58e-02    1.41e-02    2.7e-07
 321000      1.71e-02    1.74e-02      1.95e-04    3.37e-04      1.51e-02    1.52e-02    2.7e-07
 322000      1.90e-02    1.67e-02      3.03e-04    3.39e-05      1.67e-02    1.48e-02    2.7e-07
 323000      1.76e-02    1.82e-02      6.38e-05    3.10e-04      1.56e-02    1.59e-02    2.7e-07
 324000      1.97e-02    1.73e-02      4.78e-04    1.42e-04      1.72e-02    1.53e-02    2.7e-07
 325000      1.83e-02    1.71e-02      4.10e-05    4.28e-04      1.65e-02    1.50e-02    2.4e-07
 326000      1.64e-02    1.77e-02      5.47e-04    5.23e-04      1.42e-02    1.54e-02    2.4e-07
 327000      1.60e-02    1.84e-02      2.17e-04    1.41e-04      1.43e-02    1.65e-02    2.4e-07
 328000      1.78e-02    1.62e-02      4.10e-05    2.69e-04      1.60e-02    1.44e-02    2.4e-07
 329000      1.78e-02    1.80e-02      5.31e-05    5.96e-04      1.60e-02    1.56e-02    2.4e-07
 330000      1.77e-02    1.50e-02      2.98e-04    4.34e-05      1.59e-02    1.36e-02    2.1e-07
 331000      1.77e-02    1.80e-02      2.99e-04    6.41e-04      1.60e-02    1.57e-02    2.1e-07
 332000      1.74e-02    1.74e-02      2.13e-04    6.04e-04      1.58e-02    1.52e-02    2.1e-07
 333000      1.65e-02    1.53e-02      1.03e-05    1.90e-04      1.50e-02    1.38e-02    2.1e-07
 334000      1.76e-02    1.68e-02      1.39e-04    8.15e-06      1.59e-02    1.53e-02    2.1e-07
 335000      1.69e-02    1.69e-02      1.42e-04    9.95e-05      1.55e-02    1.55e-02    1.9e-07
 336000      1.67e-02    1.49e-02      3.03e-05    4.21e-05      1.53e-02    1.37e-02    1.9e-07
 337000      1.70e-02    1.82e-02      2.79e-04    8.47e-06      1.55e-02    1.67e-02    1.9e-07
 338000      1.74e-02    1.76e-02      6.19e-04    3.09e-05      1.54e-02    1.62e-02    1.9e-07
 339000      1.74e-02    1.69e-02      1.47e-04    1.93e-04      1.59e-02    1.54e-02    1.9e-07
 340000      1.80e-02    1.78e-02      3.90e-05    4.53e-04      1.67e-02    1.62e-02    1.6e-07
 341000      1.77e-02    1.52e-02      1.65e-04    7.91e-05      1.63e-02    1.41e-02    1.6e-07
 342000      1.68e-02    1.66e-02      1.90e-04    1.63e-04      1.55e-02    1.53e-02    1.6e-07
 343000      1.82e-02    1.65e-02      3.25e-04    8.79e-06      1.67e-02    1.53e-02    1.6e-07
 344000      1.72e-02    1.58e-02      1.75e-04    4.18e-04      1.59e-02    1.43e-02    1.6e-07
 345000      1.53e-02    1.59e-02      1.07e-05    4.18e-04      1.43e-02    1.46e-02    1.4e-07
 346000      1.71e-02    1.74e-02      6.54e-05    3.01e-05      1.60e-02    1.63e-02    1.4e-07
 347000      1.45e-02    1.72e-02      1.81e-05    6.90e-06      1.36e-02    1.60e-02    1.4e-07
 348000      1.76e-02    1.52e-02      2.76e-04    2.02e-04      1.64e-02    1.42e-02    1.4e-07
 349000      1.77e-02    1.63e-02      1.29e-04    1.79e-04      1.65e-02    1.52e-02    1.4e-07
 350000      1.53e-02    1.72e-02      5.78e-05    5.97e-04      1.44e-02    1.56e-02    1.3e-07
 351000      1.69e-02    1.68e-02      1.41e-04    4.42e-04      1.59e-02    1.55e-02    1.3e-07
 352000      1.68e-02    1.63e-02      5.61e-04    1.89e-05      1.52e-02    1.54e-02    1.3e-07
 353000      2.03e-02    1.71e-02      2.60e-04    7.25e-05      1.90e-02    1.61e-02    1.3e-07
 354000      1.66e-02    1.68e-02      9.37e-05    2.79e-04      1.57e-02    1.57e-02    1.3e-07
 355000      1.58e-02    1.62e-02      2.35e-04    1.69e-04      1.49e-02    1.53e-02    1.1e-07
 356000      1.66e-02    1.50e-02      5.15e-04    1.62e-04      1.53e-02    1.41e-02    1.1e-07
 357000      1.56e-02    1.64e-02      5.22e-04    2.50e-04      1.43e-02    1.54e-02    1.1e-07
 358000      1.67e-02    1.70e-02      4.09e-04    1.07e-04      1.55e-02    1.61e-02    1.1e-07
 359000      1.70e-02    1.53e-02      2.62e-04    3.56e-04      1.60e-02    1.42e-02    1.1e-07
 360000      1.57e-02    1.59e-02      8.03e-06    1.21e-04      1.50e-02    1.51e-02    9.8e-08
 361000      1.62e-02    1.51e-02      1.29e-04    1.60e-04      1.54e-02    1.43e-02    9.8e-08
 362000      1.54e-02    1.42e-02      2.12e-04    9.85e-06      1.46e-02    1.36e-02    9.8e-08
 363000      1.62e-02    1.66e-02      6.00e-05    3.26e-04      1.54e-02    1.57e-02    9.8e-08
 364000      1.67e-02    1.63e-02      2.74e-04    2.47e-04      1.58e-02    1.55e-02    9.8e-08
 365000      1.53e-02    1.59e-02      2.21e-04    9.42e-05      1.46e-02    1.52e-02    8.6e-08
 366000      1.58e-02    1.58e-02      2.43e-05    4.41e-04      1.52e-02    1.48e-02    8.6e-08
 367000      1.57e-02    1.70e-02      9.97e-05    4.43e-05      1.51e-02    1.63e-02    8.6e-08
 368000      1.63e-02    1.68e-02      1.20e-04    7.65e-05      1.57e-02    1.61e-02    8.6e-08
 369000      1.78e-02    1.51e-02      4.08e-04    1.05e-04      1.68e-02    1.44e-02    8.6e-08
 370000      1.68e-02    1.65e-02      1.95e-05    9.73e-05      1.62e-02    1.59e-02    7.6e-08
 371000      1.78e-02    1.61e-02      1.06e-04    1.04e-04      1.71e-02    1.55e-02    7.6e-08
 372000      1.67e-02    1.61e-02      7.23e-05    1.19e-04      1.61e-02    1.55e-02    7.6e-08
 373000      1.47e-02    1.71e-02      2.34e-04    2.35e-04      1.41e-02    1.64e-02    7.6e-08
 374000      1.69e-02    1.55e-02      1.37e-04    3.85e-04      1.63e-02    1.47e-02    7.6e-08
 375000      1.66e-02    1.54e-02      2.68e-04    5.37e-04      1.59e-02    1.43e-02    6.7e-08
 376000      1.56e-02    1.43e-02      1.55e-04    1.66e-04      1.51e-02    1.38e-02    6.7e-08
 377000      1.51e-02    1.57e-02      4.49e-04    3.59e-04      1.42e-02    1.50e-02    6.7e-08
 378000      1.68e-02    1.59e-02      5.22e-04    1.48e-04      1.57e-02    1.53e-02    6.7e-08
 379000      1.52e-02    1.66e-02      2.40e-04    1.15e-04      1.46e-02    1.60e-02    6.7e-08
 380000      1.72e-02    1.59e-02      2.80e-04    7.92e-05      1.66e-02    1.55e-02    5.9e-08
 381000      1.61e-02    1.58e-02      7.81e-05    4.28e-04      1.56e-02    1.50e-02    5.9e-08
 382000      1.67e-02    1.62e-02      3.09e-05    5.60e-04      1.63e-02    1.51e-02    5.9e-08
 383000      1.56e-02    1.80e-02      3.29e-04    2.38e-04      1.50e-02    1.74e-02    5.9e-08
 384000      1.81e-02    1.83e-02      2.77e-04    4.19e-04      1.74e-02    1.75e-02    5.9e-08
 385000      1.61e-02    1.65e-02      2.63e-05    1.95e-04      1.57e-02    1.61e-02    5.2e-08
 386000      1.50e-02    1.64e-02      1.52e-04    4.59e-04      1.45e-02    1.56e-02    5.2e-08
 387000      1.73e-02    1.61e-02      2.81e-04    3.28e-04      1.67e-02    1.54e-02    5.2e-08
 388000      1.74e-02    1.66e-02      3.40e-04    1.05e-04      1.68e-02    1.61e-02    5.2e-08
 389000      1.61e-02    1.52e-02      8.51e-06    2.61e-04      1.57e-02    1.47e-02    5.2e-08
 390000      1.58e-02    1.63e-02      2.51e-04    2.05e-04      1.54e-02    1.59e-02    4.5e-08
 391000      1.60e-02    1.56e-02      1.95e-05    1.48e-04      1.56e-02    1.52e-02    4.5e-08
 392000      1.55e-02    1.58e-02      1.56e-05    1.48e-04      1.52e-02    1.54e-02    4.5e-08
 393000      1.67e-02    1.57e-02      2.15e-04    8.65e-05      1.62e-02    1.53e-02    4.5e-08
 394000      1.63e-02    1.54e-02      1.78e-04    2.31e-04      1.59e-02    1.50e-02    4.5e-08
 395000      1.53e-02    1.58e-02      2.84e-04    3.73e-05      1.48e-02    1.55e-02    4.0e-08
 396000      1.55e-02    1.61e-02      8.61e-05    2.41e-04      1.52e-02    1.57e-02    4.0e-08
 397000      1.60e-02    1.60e-02      2.17e-04    5.00e-05      1.56e-02    1.57e-02    4.0e-08
 398000      1.58e-02    1.60e-02      2.34e-04    4.34e-04      1.54e-02    1.54e-02    4.0e-08
 399000      1.57e-02    1.55e-02      8.17e-05    4.88e-04      1.53e-02    1.47e-02    4.0e-08
 400000      1.55e-02    1.54e-02      2.68e-04    4.64e-04      1.51e-02    1.47e-02    3.5e-08
